epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3491642475128174,0.0010000000474974513,2.1557540893554688,0.510074257850647,1.4194495677947998
1,0.4327407777309418,0.0010000000474974513,1.762580156326294,0.483563095331192,1.4067970514297485
2,0.469885915517807,0.0010000000474974513,1.5812395811080933,0.5376458168029785,1.278591275215149
3,0.5035818815231323,0.0010000000474974513,1.465212106704712,0.5397667288780212,1.3234601020812988
4,0.5149906873703003,0.0010000000474974513,1.445016622543335,0.5599151849746704,1.2616729736328125
5,0.5277261734008789,0.0010000000474974513,1.4069522619247437,0.5524920225143433,1.1909935474395752
6,0.5266649127006531,0.0010000000474974513,1.3157148361206055,0.5683987140655518,1.2435239553451538
7,0.5364817976951599,0.0010000000474974513,1.3074108362197876,0.5715800523757935,1.1962623596191406
8,0.5447068214416504,0.0010000000474974513,1.2206332683563232,0.5662778615951538,1.1874719858169556
9,0.5630140900611877,0.0010000000474974513,1.1446360349655151,0.5885471701622009,1.1058173179626465
10,0.5638100504875183,0.0010000000474974513,1.172670602798462,0.5896076560020447,1.1135529279708862
11,0.5810559988021851,0.0010000000474974513,1.1385865211486816,0.5779427289962769,1.0865181684494019
12,0.5919342041015625,0.0010000000474974513,1.0768758058547974,0.6203605532646179,1.089617371559143
13,0.5898116230964661,0.0010000000474974513,1.070051670074463,0.5959703326225281,1.090254545211792
14,0.6025471091270447,0.0010000000474974513,1.039130687713623,0.6203605532646179,1.0286263227462769
15,0.608649492263794,0.0010000000474974513,1.0209755897521973,0.6394485831260681,0.9917240142822266
16,0.6179357767105103,0.0010000000474974513,0.9934060573577881,0.6341463327407837,1.0034855604171753
17,0.6266914010047913,0.0010000000474974513,0.977279007434845,0.6436903476715088,0.9876394867897034
18,0.6511011123657227,0.0010000000474974513,0.9242631196975708,0.6542947888374329,0.9722284078598022
19,0.6455293297767639,0.0010000000474974513,0.885357141494751,0.6511134505271912,0.9609718322753906
20,0.6548156142234802,0.0010000000474974513,0.8741101622581482,0.6542947888374329,0.9525339603424072
21,0.6619793176651001,0.0010000000474974513,0.8734246492385864,0.66171795129776,0.9252301454544067
22,0.6771026849746704,0.0010000000474974513,0.8226150274276733,0.6564157009124756,0.9213867783546448
23,0.6736534833908081,0.0010000000474974513,0.857078492641449,0.6521739363670349,0.9915742874145508
24,0.674980103969574,0.0010000000474974513,0.8228633403778076,0.6564157009124756,0.9317657947540283
25,0.6908994317054749,0.0010000000474974513,0.7793888449668884,0.6723223924636841,0.9350020289421082
26,0.69859379529953,0.0010000000474974513,0.7831657528877258,0.663838803768158,0.9306503534317017
27,0.7007163763046265,0.0010000000474974513,0.7847490310668945,0.6797454953193665,0.9345152378082275
28,0.7081453800201416,0.0005000000237487257,0.7224768996238708,0.6808059215545654,0.8910391330718994
29,0.7338816523551941,0.0005000000237487257,0.6641095876693726,0.6871685981750488,0.9040592908859253
30,0.7386574745178223,0.0005000000237487257,0.658763587474823,0.6914103627204895,0.8981571793556213
31,0.7537808418273926,0.0005000000237487257,0.6104764342308044,0.6945917010307312,0.883736252784729
32,0.7604138851165771,0.0005000000237487257,0.6025565266609192,0.695652186870575,0.8902550935745239
33,0.7781904935836792,0.0005000000237487257,0.5784566402435303,0.695652186870575,0.8872753977775574
34,0.7821703553199768,0.0005000000237487257,0.5457414984703064,0.6765641570091248,0.8955517411231995
35,0.7819049954414368,0.0005000000237487257,0.5280219912528992,0.6892895102500916,0.8843865990638733
36,0.7861501574516296,0.0005000000237487257,0.5496463179588318,0.6988335251808167,0.8835787177085876
37,0.7845582365989685,0.0005000000237487257,0.5511549711227417,0.6967126131057739,0.939505934715271
38,0.7877420783042908,0.0005000000237487257,0.5395916700363159,0.707317054271698,0.890593945980072
39,0.8081719279289246,0.0005000000237487257,0.5030091404914856,0.7094379663467407,0.879718005657196
40,0.8028655052185059,0.0005000000237487257,0.4896329641342163,0.706256628036499,0.906380832195282
41,0.8076412677764893,0.0005000000237487257,0.5074653625488281,0.7094379663467407,0.9075405597686768
42,0.8036614656448364,0.0005000000237487257,0.5157203078269958,0.7094379663467407,0.8922717571258545
43,0.8076412677764893,0.0005000000237487257,0.4934682846069336,0.6967126131057739,0.929965078830719
44,0.8087025880813599,0.0005000000237487257,0.49036329984664917,0.695652186870575,0.9028939604759216
45,0.8185194730758667,0.0002500000118743628,0.477431982755661,0.7115588784217834,0.9103558659553528
46,0.8344388604164124,0.0002500000118743628,0.431130588054657,0.7104983925819397,0.9059377312660217
47,0.8421331644058228,0.0002500000118743628,0.3988571763038635,0.7030752897262573,0.9008736610412598
48,0.8506234884262085,0.0002500000118743628,0.39780277013778687,0.7189819812774658,0.8974205255508423
49,0.8522154688835144,0.0002500000118743628,0.39304491877555847,0.7179215550422668,0.9031405448913574
50,0.8628283143043518,0.0001250000059371814,0.3682703971862793,0.7104983925819397,0.912117600440979
51,0.8668081760406494,0.0001250000059371814,0.356094628572464,0.7158006429672241,0.9050901532173157
